Title,Description
Magnitude of Climate Change,These maps display the magnitude of projected future climate change in relation to the interannual variability in late 20th century CA climate. The maps show the...
Mirador - Climate Variability and Change,Earth Science data access made simple. NASA's role in climate variability study is centered around providing the global scale observational data sets on oceans and...
Climate Change Science Program Collection,The Climate Change Science Program (CCSP) Collection consists of publications and other resources produced between 2007 and 2009 by the CCSP with the intention of...
Nitrogen Discharge due to Climate Change and Land Cover Change,Simulated model output for the figures in the associated publication. Data are SWAT model simulation results for different scenarios of land-use change and climate...
Pacific Islands Climate Change Virtual Library,"The Virtual Library provides access to web based climate variability and climate change information and tools relevant to the Pacific Islands including case studies,..."
Percent change in climatic water deficit,Percent change in climatic water deficit relative to the 1981-2010 climate period These maps display the average percent change in climatic water deficit (CWD) from...
New York Climate Change Science Clearinghouse,"The New York Climate Change Science Clearinghouse (NYCCSC) is a gateway for policymakers, local planners, and the public to access documents, data, websites, tools,..."
Bird Distribution Responses to Climate Change,The development of sophisticated species distribution modeling techniques provides an opportunity to examine the potential effects of climate change on bird...
California Climate and Hydrology Change Graphs,This graphing tool presents climate and hydrology data values from the California Basin Characterization Model dataset plotted over time for 156 hydrologic basins...
Global temperate drylands climate change vulnerability,Drylands cover 40% of the global terrestrial surface and provide important ecosystem services. While drylands as a whole are expected to increase in distribution and...
FiCli: Fish and Climate Change Database,Inland fishes provide important ecosystem services to communities worldwide and are especially vulnerable to the impacts of climate change. Fish respond to climate...
FiCli: Fish and Climate Change Database,Inland fishes provide important ecosystem services to communities worldwide and are especially vulnerable to the impacts of climate change. Fish respond to climate...
FiCli: Fish and Climate Change Database,Inland fishes provide important ecosystem services to communities worldwide and are especially vulnerable to the impacts of climate change. Fish respond to climate...
Climate Change Maps for a Species Perspective,These maps indicate the magnitude of multivariate climate change using the standardized Euclidean distance (SED). This metric allows the magnitude of climate change...
Pacific Islands Global Climate Change Performance Evaluation,"USAID/Pacific Islands launched its Global Climate Change portfolio in 2011 in response to growing climate concerns. In 2016, Social Impact, Inc. conducted a..."
"REVIVE Climate Change Adaptation in Oromia, Ethiopia",These data come from the Restoring Vibrant Villages and Environments (REVIVE) project in 9 woredas of Oromia region of Ethiopia. Project REVIVE is a three­-year...
Climate Change Pressures Heat Zones (Map Service),"Evaluating multiple signals of climate change across the conterminous United States during three 30-year periods (2010�2039, 2040�2069, 2070�2099) during this century..."
Bird Species Richness Response to Climate Change,Species richness indicates the number of different species predicted to be able to occur at a location. Maps show the projected species richness under current climate...
Climate Change Impacts on Water Resources in Malawi,This dataset measures climate change impacts on Malawi's water resources. USAID partners with the Government of Malawi (GoM) and a wide variety of Malawian...
Climate Change Impacts on Water Resources in Tanzania,The economic and social impacts of climate variability in developing countries underline the need to help partner countries gain the institutional capacity for...
